"Point ID", "Idp", "Mk", "Points:0", "Points:1", "Points:2", "Points Magnitude", "Rhop", "Type", "Vel:0", "Vel:1", "Vel:2", "Vel Magnitude"
0,0,10,-0.08,0,-0.08,0.113137,1000,0,0,0,0,0
1,1,10,-0.08,0,-0.04,0.0894427,1000,0,0,0,0,0
2,2,10,-0.08,0,0,0.08,1000,0,0,0,0,0
3,3,10,-0.08,0,0.04,0.0894427,1000,0,0,0,0,0
4,4,10,-0.08,0,0.08,0.113137,1000,0,0,0,0,0
5,5,10,-0.08,0,0.12,0.144222,1000,0,0,0,0,0
6,6,10,-0.08,0,0.16,0.178885,1000,0,0,0,0,0
7,7,10,-0.08,0,0.2,0.215407,1000,0,0,0,0,0
8,8,10,-0.08,0,0.24,0.252982,1000,0,0,0,0,0
9,9,10,-0.08,0,0.28,0.291204,1000,0,0,0,0,0
10,10,10,-0.08,0,0.32,0.329848,1000,0,0,0,0,0
11,11,10,-0.08,0,0.36,0.368782,1000,0,0,0,0,0
12,12,10,-0.08,0,0.4,0.407922,1000,0,0,0,0,0
13,13,10,-0.08,0,0.44,0.447214,1000,0,0,0,0,0
14,14,10,-0.08,0,0.48,0.486621,1000,0,0,0,0,0
15,15,10,-0.08,0,0.52,0.526118,1000,0,0,0,0,0
16,16,10,-0.08,0,0.56,0.565685,1000,0,0,0,0,0
17,17,10,-0.08,0,0.6,0.60531,1000,0,0,0,0,0
18,18,10,-0.08,0,0.64,0.644981,1000,0,0,0,0,0
19,19,10,-0.08,0,0.68,0.68469,1000,0,0,0,0,0
20,20,10,-0.08,0,0.72,0.724431,1000,0,0,0,0,0
21,21,10,-0.08,0,0.76,0.764199,1000,0,0,0,0,0
22,22,10,-0.08,0,0.8,0.80399,1000,0,0,0,0,0
23,23,10,-0.08,0,0.84,0.843801,1000,0,0,0,0,0
24,24,10,-0.08,0,0.88,0.883629,1000,0,0,0,0,0
25,25,10,-0.08,0,0.92,0.923472,1000,0,0,0,0,0
26,26,10,-0.08,0,0.96,0.963328,1000,0,0,0,0,0
27,27,10,-0.08,0,1,1.00319,1000,0,0,0,0,0
28,28,10,-0.08,0,1.04,1.04307,1000,0,0,0,0,0
29,29,10,-0.08,0,1.08,1.08296,1000,0,0,0,0,0
30,30,10,-0.08,0,1.12,1.12285,1000,0,0,0,0,0
31,31,10,-0.08,0,1.16,1.16276,1000,0,0,0,0,0
32,32,10,-0.08,0,1.2,1.20266,1000,0,0,0,0,0
33,33,10,-0.08,0,1.24,1.24258,1000,0,0,0,0,0
34,34,10,-0.08,0,1.28,1.2825,1000,0,0,0,0,0
35,35,10,-0.08,0,1.32,1.32242,1000,0,0,0,0,0
36,36,10,-0.08,0,1.36,1.36235,1000,0,0,0,0,0
37,37,10,-0.08,0,1.4,1.40228,1000,0,0,0,0,0
38,38,10,-0.08,0,1.44,1.44222,1000,0,0,0,0,0
39,39,10,-0.08,0,1.48,1.48216,1000,0,0,0,0,0
40,40,10,-0.08,0,1.52,1.5221,1000,0,0,0,0,0
41,41,10,-0.08,0,1.56,1.56205,1000,0,0,0,0,0
42,42,10,-0.08,0,1.6,1.602,1000,0,0,0,0,0
43,43,10,-0.08,0,1.64,1.64195,1000,0,0,0,0,0
44,44,10,-0.08,0,1.68,1.6819,1000,0,0,0,0,0
45,45,10,-0.08,0,1.72,1.72186,1000,0,0,0,0,0
46,46,10,-0.08,0,1.76,1.76182,1000,0,0,0,0,0
47,47,10,-0.08,0,1.8,1.80178,1000,0,0,0,0,0
48,48,10,-0.08,0,1.84,1.84174,1000,0,0,0,0,0
49,49,10,-0.08,0,1.88,1.8817,1000,0,0,0,0,0
50,50,10,-0.08,0,1.92,1.92167,1000,0,0,0,0,0
51,51,10,-0.08,0,1.96,1.96163,1000,0,0,0,0,0
52,52,10,-0.08,0,2,2.0016,1000,0,0,0,0,0
53,53,10,-0.08,0,2.04,2.04157,1000,0,0,0,0,0
54,54,10,-0.08,0,2.08,2.08154,1000,0,0,0,0,0
55,55,10,-0.08,0,2.12,2.12151,1000,0,0,0,0,0
56,56,10,-0.08,0,2.16,2.16148,1000,0,0,0,0,0
57,57,10,-0.08,0,2.2,2.20145,1000,0,0,0,0,0
58,58,10,-0.08,0,2.24,2.24143,1000,0,0,0,0,0
59,59,10,-0.08,0,2.28,2.2814,1000,0,0,0,0,0
60,60,10,-0.08,0,2.32,2.32138,1000,0,0,0,0,0
61,61,10,-0.08,0,2.36,2.36136,1000,0,0,0,0,0
62,62,10,-0.08,0,2.4,2.40133,1000,0,0,0,0,0
63,63,10,-0.08,0,2.44,2.44131,1000,0,0,0,0,0
64,64,10,-0.08,0,2.48,2.48129,1000,0,0,0,0,0
65,65,10,-0.08,0,2.52,2.52127,1000,0,0,0,0,0
66,66,10,-0.08,0,2.56,2.56125,1000,0,0,0,0,0
67,67,10,-0.08,0,2.6,2.60123,1000,0,0,0,0,0
68,68,10,-0.08,0,2.64,2.64121,1000,0,0,0,0,0
69,69,10,-0.08,0,2.68,2.68119,1000,0,0,0,0,0
70,70,10,-0.08,0,2.72,2.72118,1000,0,0,0,0,0
71,71,10,-0.08,0,2.76,2.76116,1000,0,0,0,0,0
72,72,10,-0.08,0,2.8,2.80114,1000,0,0,0,0,0
73,73,10,-0.08,0,2.84,2.84113,1000,0,0,0,0,0
74,74,10,-0.08,0,2.88,2.88111,1000,0,0,0,0,0
75,75,10,-0.08,0,2.92,2.9211,1000,0,0,0,0,0
76,76,10,-0.08,0,2.96,2.96108,1000,0,0,0,0,0
77,77,10,-0.08,0,3,3.00107,1000,0,0,0,0,0
78,78,10,-0.08,0,3.04,3.04105,1000,0,0,0,0,0
79,79,10,-0.08,0,3.08,3.08104,1000,0,0,0,0,0
80,80,10,-0.08,0,3.12,3.12103,1000,0,0,0,0,0
81,81,10,-0.08,0,3.16,3.16101,1000,0,0,0,0,0
82,82,10,-0.08,0,3.2,3.201,1000,0,0,0,0,0
83,83,10,-0.08,0,3.24,3.24099,1000,0,0,0,0,0
84,84,10,-0.08,0,3.28,3.28098,1000,0,0,0,0,0
85,85,10,-0.08,0,3.32,3.32096,1000,0,0,0,0,0
86,86,10,-0.08,0,3.36,3.36095,1000,0,0,0,0,0
87,87,10,-0.08,0,3.4,3.40094,1000,0,0,0,0,0
88,88,10,-0.08,0,3.44,3.44093,1000,0,0,0,0,0
89,89,10,-0.08,0,3.48,3.48092,1000,0,0,0,0,0
90,90,10,-0.08,0,3.52,3.52091,1000,0,0,0,0,0
91,91,10,-0.08,0,3.56,3.5609,1000,0,0,0,0,0
92,92,10,-0.08,0,3.6,3.60089,1000,0,0,0,0,0
93,93,10,-0.08,0,3.64,3.64088,1000,0,0,0,0,0
94,94,10,-0.08,0,3.68,3.68087,1000,0,0,0,0,0
95,95,10,-0.08,0,3.72,3.72086,1000,0,0,0,0,0
96,96,10,-0.08,0,3.76,3.76085,1000,0,0,0,0,0
97,97,10,-0.08,0,3.8,3.80084,1000,0,0,0,0,0
98,98,10,-0.08,0,3.84,3.84083,1000,0,0,0,0,0
99,99,10,-0.08,0,3.88,3.88082,1000,0,0,0,0,0
100,100,10,-0.08,0,3.92,3.92082,1000,0,0,0,0,0
101,101,10,-0.08,0,3.96,3.96081,1000,0,0,0,0,0
102,102,10,-0.08,0,4,4.0008,1000,0,0,0,0,0
103,103,10,-0.08,0,4.04,4.04079,1000,0,0,0,0,0
104,104,10,-0.08,0,4.08,4.08078,1000,0,0,0,0,0
105,105,10,-0.08,0,4.12,4.12078,1000,0,0,0,0,0
106,106,10,-0.08,0,4.16,4.16077,1000,0,0,0,0,0
107,107,10,-0.08,0,4.2,4.20076,1000,0,0,0,0,0
108,108,10,-0.08,0,4.24,4.24075,1000,0,0,0,0,0
109,109,10,-0.08,0,4.28,4.28075,1000,0,0,0,0,0
110,110,10,-0.08,0,4.32,4.32074,1000,0,0,0,0,0
111,111,10,-0.08,0,4.36,4.36073,1000,0,0,0,0,0
112,112,10,-0.08,0,4.4,4.40073,1000,0,0,0,0,0
113,113,10,-0.08,0,4.44,4.44072,1000,0,0,0,0,0
114,114,10,-0.08,0,4.48,4.48071,1000,0,0,0,0,0
115,115,10,-0.08,0,4.52,4.52071,1000,0,0,0,0,0
116,116,10,-0.08,0,4.56,4.5607,1000,0,0,0,0,0
117,117,10,-0.08,0,4.6,4.6007,1000,0,0,0,0,0
